Subset,Model,Type,Training Time (s),Accuracy,Precision,Recall,F1-Score,AUCPR,TP,FP,TN,FN
subset_30%,LightGBM Tuned,SL,0.12985587120056152,0.9992977774656788,0.9992679303786233,0.9992977774656788,0.9992789313860128,0.6183656052249527,73,15,56849,25
subset_30%,CatBoost Tuned,SL,0.2173628807067871,0.999385555282469,0.9993625377391864,0.999385555282469,0.9993707934901221,0.6626196550927989,76,13,56851,22
subset_30%,Label Propagation Tuned,SSL,3.4128165245056152,0.9992099996488887,0.9991671565168853,0.9992099996488887,0.9991819846735772,0.572057730785162,69,16,56848,29
subset_30%,Label Spreading Tuned,SSL,3.5859107971191406,0.9991748885221726,0.9991242689685079,0.9991748885221726,0.9991407532263554,0.5524252158252988,67,16,56848,31
subset_50%,Random Forest,SL,1.925243854522705,0.9990695551420246,0.9989890692705905,0.9990695551420246,0.9990077988274176,0.49046302977495204,60,15,56849,38
subset_50%,Multi-layer Perceptron,SL,0.9055979251861572,0.9992977774656788,0.9992679303786233,0.9992977774656788,0.9992789313860128,0.6183656052249527,73,15,56849,25
subset_50%,XGBoost,SL,0.12335681915283203,0.9991748885221726,0.9991350329469163,0.9991748885221726,0.9991503980802984,0.5589186820622245,69,18,56846,29
subset_50%,LightGBM,SL,0.08209037780761719,0.9989115550718023,0.9990599170301971,0.9989115550718023,0.9989708099237455,0.5223308792233744,79,43,56821,19
subset_50%,CatBoost,SL,5.81673789024353,0.9993504441557529,0.9993216699483396,0.9993504441557529,0.9993311644461924,0.6426920349045945,74,13,56851,24
subset_50%,Label Propagation,SSL,17.505387783050537,0.9985779993679997,0.9983028294947103,0.9985779993679997,0.9982256190840316,0.19454067795568647,25,8,56856,73
subset_50%,Label Spreading,SSL,18.406496047973633,0.9985779993679997,0.9983028294947103,0.9985779993679997,0.9982256190840316,0.19454067795568647,25,8,56856,73
subset_50%,KNN,SL,0.7959175109863281,0.9992451107756047,0.9992150032180541,0.9992451107756047,0.9992269748592929,0.5948155365986961,72,17,56847,26
subset_50%,Isolation Forest,UL,1.2965891361236572,0.9631684280748569,0.9980532681407929,0.9631684280748569,0.9796477711427545,0.031987101997997945,82,2082,54782,16
subset_50%,Local Outlier Factor,UL,0.38426685333251953,0.9573224254766336,0.9980807162136194,0.9573224254766336,0.976591370248114,0.02903426249316993,84,2417,54447,14
